Date,Open,High,Low,Close,Adj Close,Volume
2012-12-14,68.589996,69.930000,68.480003,69.739998,43.717964,8563800
2012-12-21,68.699997,69.930000,68.699997,69.529999,43.586311,4576600
2012-12-28,68.790001,69.610001,68.300003,69.000000,43.254082,7953400
2013-01-04,68.860001,69.489998,68.349998,69.180000,43.366909,9208000
2013-01-11,69.620003,70.309998,69.010002,70.050003,43.912289,8143600
2013-01-18,70.230003,70.550003,69.870003,70.360001,44.106617,5294100
2013-01-25,71.839996,73.000000,70.510002,70.519997,44.206913,13894100
2013-02-01,70.260002,70.919998,67.260002,67.610001,42.382736,18712700
2013-02-08,67.519997,67.790001,65.809998,66.209999,41.505100,19241500
2013-02-15,65.739998,66.760002,64.839996,65.180000,41.384682,13406200
2013-02-22,65.639999,66.269997,64.529999,65.650002,41.683098,10906800
2013-03-01,65.550003,67.099998,65.320000,66.900002,42.476757,9857000
2013-03-08,66.260002,66.769997,65.709999,66.580002,42.273590,15615900
2013-03-15,65.940002,66.230003,65.040001,65.309998,41.467213,13773700
2013-03-22,65.589996,66.150002,64.510002,65.160004,41.371986,19010700
2013-03-29,65.199997,65.300003,64.040001,64.139999,40.724354,18742700
2013-04-05,63.509998,65.550003,63.349998,65.379997,41.511662,14062000
2013-04-12,65.339996,65.389999,63.549999,64.019997,40.648155,16997300
2013-04-19,63.970001,67.540001,63.669998,67.019997,42.552948,12102000
2013-04-26,66.769997,68.699997,66.599998,68.440002,43.454552,10858000
2013-05-03,69.070000,69.940002,68.500000,69.230003,43.956146,9560400
2013-05-10,68.919998,69.760002,67.320000,67.320000,42.743431,14153200
2013-05-17,67.779999,68.709999,67.110001,67.800003,43.610916,8213700
2013-05-24,67.120003,68.269997,66.940002,67.639999,43.507999,5396900
2013-05-31,67.290001,67.330002,65.339996,65.529999,42.150780,11577600
2013-06-07,65.379997,66.550003,64.989998,66.339996,42.671806,10419500
2013-06-14,65.570000,66.620003,64.160004,64.290001,41.353176,11726300
2013-06-21,64.120003,64.400002,62.759998,64.330002,41.378914,17550500
2013-06-28,64.040001,64.349998,62.950001,63.410000,40.787136,7032300
2013-07-05,63.090000,66.900002,62.650002,66.839996,42.993420,11033500
2013-07-12,67.000000,68.160004,66.320000,67.709999,43.553024,10596100
2013-07-19,67.790001,68.820000,67.620003,68.680000,44.176960,8476000
2013-07-26,68.379997,68.610001,64.279999,64.470001,41.468964,14215600
2013-08-02,64.129997,64.620003,64.000000,64.550003,41.520416,11493800
2013-08-09,64.849998,65.029999,63.080002,63.619999,40.922226,11138900
2013-08-16,64.089996,64.269997,63.580002,63.669998,41.531837,11188600
2013-08-23,64.040001,66.379997,63.980000,65.349998,42.627693,8671400
2013-08-30,64.669998,65.089996,64.370003,64.699997,42.203705,6980300
2013-09-06,65.050003,65.839996,64.370003,65.379997,42.647259,9365300
2013-09-13,65.400002,66.500000,64.900002,66.410004,43.319141,11397400
2013-09-20,66.320000,66.559998,65.309998,65.809998,42.927750,11295100
2013-09-27,65.750000,66.050003,64.900002,65.519997,42.738586,9550500
2013-10-04,65.419998,65.660004,63.270000,64.199997,41.877552,12206300
2013-10-11,64.389999,66.370003,64.300003,66.360001,43.286522,7459400
2013-10-18,66.629997,68.519997,66.559998,68.180000,44.473698,15671700
2013-10-25,69.120003,70.190002,66.370003,66.680000,43.495243,19250100
2013-11-01,66.680000,67.500000,66.040001,66.040001,43.077778,11138300
2013-11-08,65.639999,66.459999,65.040001,66.279999,43.234337,10245900
2013-11-15,67.300003,68.470001,67.180000,67.709999,44.775013,9830800
2013-11-22,68.040001,68.269997,66.550003,66.660004,44.080685,5293700
2013-11-29,66.910004,67.199997,65.580002,65.820000,43.525211,8712500
2013-12-06,67.370003,68.529999,66.930000,67.070000,44.351795,13819000
2013-12-13,66.879997,69.129997,66.489998,69.129997,45.714024,11657900
2013-12-20,69.379997,70.790001,69.379997,70.730003,46.772068,6499800
2013-12-27,71.459999,71.480003,70.570000,70.650002,46.719162,7027200
2014-01-03,71.110001,71.160004,70.279999,70.650002,46.719162,10836100
2014-01-10,72.000000,72.059998,70.940002,71.739998,47.439964,17280900
2014-01-17,70.889999,72.910004,70.519997,72.370003,47.856552,22922800
2014-01-24,72.309998,72.309998,69.839996,71.349998,47.182056,21080900
2014-01-31,69.400002,69.529999,67.750000,68.779999,45.482578,16453900
2014-02-07,68.760002,71.150002,68.669998,71.150002,47.049797,9562500
2014-02-14,70.980003,73.400002,70.879997,73.339996,49.123333,9097500
2014-02-21,73.459999,74.169998,72.349998,72.900002,48.828625,9574600
2014-02-28,73.040001,73.349998,71.690002,72.629997,48.647770,9506300
2014-03-07,72.959999,73.300003,71.029999,71.050003,47.589493,10271000
2014-03-14,71.040001,72.589996,70.629997,71.199997,47.689957,10764300
2014-03-21,70.959999,72.860001,70.959999,72.459999,48.533905,7636400
2014-03-28,73.129997,73.610001,72.879997,73.180000,49.016159,7339000
2014-04-04,73.430000,74.519997,73.050003,73.410004,49.170231,12074700
2014-04-11,73.269997,75.830002,73.160004,75.699997,50.704067,11706600
2014-04-18,75.489998,75.839996,75.169998,75.760002,50.744263,6198400
2014-04-25,75.410004,79.559998,75.279999,79.050003,52.947914,18453000
2014-05-02,79.000000,80.830002,78.860001,80.500000,53.919117,15537900
2014-05-09,79.919998,80.300003,78.300003,78.730003,52.733574,9396500
2014-05-16,78.940002,79.870003,78.529999,79.559998,53.924953,10873200
2014-05-23,79.300003,79.370003,78.150002,78.809998,53.416595,11190500
2014-05-30,78.629997,79.400002,78.279999,78.970001,53.525059,8899600
2014-06-06,79.190002,80.110001,78.750000,79.779999,54.074066,5840900
2014-06-13,80.680000,82.570000,80.169998,81.980003,55.565201,8419200
2014-06-20,82.430000,82.860001,81.000000,82.099998,55.646542,9983200
2014-06-27,82.550003,83.419998,82.019997,82.430000,55.870205,6438700
2014-07-04,82.330002,82.430000,80.790001,81.099998,54.968758,5589800
2014-07-11,81.599998,83.220001,81.440002,82.459999,55.890533,7920700
2014-07-18,82.059998,82.769997,81.320000,82.559998,55.958317,4515100
